,Annual Returns on Investments in,,,,,,,Annual Real Returns,,,,,,,
Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,International,Inflation Rate,S&P 500 (includes dividends)2,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,International
1928,0.4381,0.0308,0.0084,0.0322,0.0149,0.001,,-0.0116,0.4549,0.0429,0.0201,0.0443,0.0268,0.0127,
1929,-0.083,0.0316,0.042,0.0302,-0.0206,-0.0015,,0.0058,-0.0883,0.0256,0.036,0.0242,-0.0263,-0.0073,
1930,-0.2512,0.0455,0.0454,0.0054,-0.043,0.001,,-0.064,-0.2001,0.1169,0.1168,0.0741,0.0224,0.0694,
1931,-0.4384,0.0231,-0.0256,-0.1568,-0.0815,-0.1738,,-0.0932,-0.3807,0.1282,0.0745,-0.0702,0.0129,-0.089,
1932,-0.0864,0.0107,0.0879,0.2359,-0.1047,0.2128,,-0.1027,0.0182,0.1264,0.2125,0.3774,-0.0021,0.3516,
1933,0.4998,0.0096,0.0186,0.1297,-0.0381,0.2726,,0.0076,0.4885,0.002,0.0108,0.1211,-0.0454,0.263,
1934,-0.0119,0.0028,0.0796,0.1882,0.0291,0.3175,,0.0152,-0.0266,-0.0122,0.0635,0.1704,0.0137,0.2978,
1935,0.4674,0.0017,0.0447,0.1331,0.0977,0.0043,,0.0299,0.4249,-0.0274,0.0144,0.1002,0.0658,-0.0248,
1936,0.3194,0.0017,0.0502,0.1138,0.0322,0.0009,,0.0145,0.3006,-0.0126,0.0352,0.0979,0.0174,-0.0134,
1937,-0.3534,0.0028,0.0138,-0.0442,0.0256,-0.0023,,0.0286,-0.3713,-0.0251,-0.0144,-0.0707,-0.0029,-0.03,
1938,0.2928,0.0007,0.0421,0.0924,-0.0087,0.0017,,-0.0278,0.3298,0.0292,0.0719,0.1236,0.0196,0.0303,
1939,-0.011,0.0005,0.0441,0.0798,-0.013,-0.0123,,0,-0.011,0.0005,0.0441,0.0798,-0.013,-0.0123,
1940,-0.1067,0.0004,0.054,0.0865,0.0331,-0.0166,,0.0071,-0.1131,-0.0067,0.0465,0.0788,0.0257,-0.0235,
1941,-0.1277,0.0013,-0.0202,0.0501,-0.0838,0,,0.0993,-0.2065,-0.0891,-0.1087,-0.0448,-0.1666,-0.0903,
1942,0.1917,0.0034,0.0229,0.0518,0.0333,0,,0.0903,0.093,-0.0797,-0.0618,-0.0353,-0.0523,-0.0828,
1943,0.2506,0.0038,0.0249,0.0804,0.1145,0,,0.0296,0.2147,-0.025,-0.0046,0.0494,0.0824,-0.0287,
1944,0.1903,0.0038,0.0258,0.0657,0.1658,0,,0.023,0.1636,-0.0188,0.0027,0.0417,0.1396,-0.0225,
1945,0.3582,0.0038,0.038,0.068,0.1178,0.0254,,0.0225,0.3284,-0.0183,0.0152,0.0445,0.0932,0.0029,
1946,-0.0843,0.0038,0.0313,0.0251,0.241,0,,0.1813,-0.2248,-0.1503,-0.127,-0.1323,0.0505,-0.1535,
1947,0.052,0.006,0.0092,0.0026,0.2126,0,,0.0884,-0.0334,-0.0757,-0.0727,-0.0788,0.1142,-0.0812,
1948,0.057,0.0105,0.0195,0.0344,0.0206,0,,0.0273,0.0289,-0.0164,-0.0076,0.0068,-0.0066,-0.0266,
1949,0.183,0.0112,0.0466,0.0538,0.0009,-0.087,,-0.0183,0.2051,0.03,0.0661,0.0734,0.0195,-0.07,
1950,0.3081,0.012,0.0043,0.0424,0.0364,0.0956,,0.058,0.2363,-0.0435,-0.0508,-0.0148,-0.0204,0.0355,
1951,0.2368,0.0152,-0.003,-0.0019,0.0605,0,,0.0596,0.1672,-0.042,-0.0591,-0.0581,0.0008,-0.0563,
1952,0.1815,0.0172,0.0227,0.0444,0.0441,-0.0035,,0.0091,0.1709,0.0081,0.0135,0.035,0.0347,-0.0124,
1953,-0.0121,0.0189,0.0414,0.0162,0.1152,0.0069,,0.006,-0.018,0.0128,0.0352,0.0102,0.1085,0.0009,
1954,0.5256,0.0094,0.0329,0.0616,0.0092,0.0057,,-0.0037,0.5313,0.0131,0.0368,0.0655,0.013,0.0095,
1955,0.326,0.0172,-0.0134,0.0204,0,-0.0003,,0.0037,0.321,0.0135,-0.017,0.0166,-0.0037,-0.004,
1956,0.0744,0.0262,-0.0226,-0.0235,0.0091,-0.0011,,0.0283,0.0448,-0.002,-0.0494,-0.0504,-0.0186,-0.0286,
1957,-0.1046,0.0322,0.068,-0.0072,0.0272,-0.0011,,0.0304,-0.131,0.0018,0.0365,-0.0365,-0.0031,-0.0306,
1958,0.4372,0.0177,-0.021,0.0643,0.0066,0.0043,,0.0176,0.4124,0.0001,-0.0379,0.0459,-0.0108,-0.013,
1959,0.1206,0.0339,-0.0265,0.0157,0.0011,0,,0.0152,0.1038,0.0184,-0.041,0.0005,-0.0139,-0.015,
1960,0.0034,0.0287,0.1164,0.0666,0.0077,0.0048,,0.0136,-0.0101,0.0149,0.1014,0.0523,-0.0059,-0.0086,
1961,0.2664,0.0235,0.0206,0.051,0.0098,-0.0006,,0.0067,0.2579,0.0167,0.0138,0.044,0.003,-0.0072,
1962,-0.0881,0.0277,0.0569,0.065,0.0032,-0.0006,,0.0123,-0.0992,0.0152,0.0441,0.052,-0.009,-0.0127,
1963,0.2261,0.0316,0.0168,0.0546,0.0214,-0.004,,0.0165,0.2063,0.0149,0.0004,0.0376,0.0049,-0.0201,
1964,0.1642,0.0355,0.0373,0.0516,0.0126,0.0003,,0.012,0.1504,0.0232,0.025,0.0392,0.0006,-0.0116,
1965,0.124,0.0395,0.0072,0.0319,0.0166,0.0006,,0.0192,0.1028,0.0199,-0.0118,0.0125,-0.0026,-0.0183,
1966,-0.0997,0.0486,0.0291,-0.0345,0.0122,0.0003,,0.0336,-0.129,0.0145,-0.0044,-0.0658,-0.0207,-0.0322,
1967,0.238,0.0429,-0.0158,0.009,0.0232,-0.0051,,0.0328,0.1987,0.0098,-0.0471,-0.0231,-0.0093,-0.0367,
1968,0.1081,0.0534,0.0327,0.0485,0.0413,0.1247,,0.0471,0.0583,0.006,-0.0137,0.0013,-0.0055,0.0742,
1969,-0.0824,0.0667,-0.0501,-0.0203,0.0699,0.0501,,0.059,-0.1335,0.0073,-0.1031,-0.0748,0.0103,-0.0084,
1970,0.0356,0.0639,0.1675,0.0565,0.0822,-0.0945,-0.1051,0.0557,-0.019,0.0078,0.1059,0.0008,0.0251,-0.1423,-0.1608
1971,0.1422,0.0433,0.0979,0.14,0.0424,0.1669,0.3121,0.0327,0.1061,0.0103,0.0631,0.104,0.0095,0.13,0.2794
1972,0.1876,0.0406,0.0282,0.1141,0.0298,0.4878,0.376,0.0341,0.1484,0.0063,-0.0057,0.0774,-0.0042,0.4388,0.3419
1973,-0.1431,0.0704,0.0366,0.0432,0.0342,0.7296,-0.1417,0.0894,-0.2134,-0.0175,-0.0485,-0.0424,-0.0507,0.5876,-0.2311
1974,-0.259,0.0785,0.0199,-0.0438,0.1007,0.6615,-0.2215,0.121,-0.339,-0.0379,-0.0902,-0.147,-0.018,0.4822,-0.3425
1975,0.37,0.0579,0.0361,0.1105,0.0677,-0.248,0.371,0.0713,0.2788,-0.0125,-0.0329,0.0366,-0.0033,-0.298,0.2997
1976,0.2383,0.0498,0.1598,0.1975,0.0818,-0.041,0.0374,0.0504,0.1789,-0.0006,0.1042,0.1401,0.0299,-0.087,-0.013
1977,-0.0698,0.0526,0.0129,0.0995,0.1465,0.2264,0.1942,0.0668,-0.128,-0.0133,-0.0505,0.0307,0.0748,0.1496,0.1274
1978,0.0651,0.0718,-0.0078,0.0314,0.1572,0.3701,0.343,0.0899,-0.0227,-0.0166,-0.0896,-0.0537,0.0618,0.2571,0.2531
1979,0.1852,0.1005,0.0067,-0.0201,0.1374,1.2655,0.0618,0.1325,0.0465,-0.0283,-0.1111,-0.1348,0.0043,1.0003,-0.0707
1980,0.3174,0.1139,-0.0299,-0.0332,0.074,0.1519,0.2443,0.1235,0.1725,-0.0086,-0.1366,-0.1395,-0.0441,0.0252,0.1208
1981,-0.047,0.1404,0.082,0.0846,0.051,-0.326,-0.0103,0.0891,-0.125,0.047,-0.0065,-0.0041,-0.035,-0.3811,-0.0994
1982,0.2042,0.106,0.3281,0.2905,0.0056,0.1562,-0.0086,0.0383,0.1598,0.0653,0.2792,0.243,-0.0314,0.1136,-0.0469
1983,0.2234,0.0862,0.032,0.1619,0.0475,-0.168,0.2461,0.0379,0.1787,0.0465,-0.0057,0.1195,0.0093,-0.1983,0.2082
1984,0.0615,0.0954,0.1373,0.1562,0.0468,-0.1938,0.0786,0.0404,0.0202,0.0528,0.0931,0.1113,0.0061,-0.2251,0.0382
1985,0.3124,0.0747,0.2571,0.2386,0.0747,0.06,0.5672,0.0379,0.2644,0.0355,0.2112,0.1934,0.0355,0.0213,0.5293
1986,0.1849,0.0597,0.2428,0.2135,0.0961,0.1896,0.6994,0.0119,0.171,0.0473,0.2283,0.1993,0.0833,0.1756,0.6875
1987,0.0581,0.0578,-0.0496,0.0281,0.0785,0.2453,0.2493,0.0433,0.0142,0.0139,-0.0891,-0.0146,0.0337,0.1936,0.206
1988,0.1654,0.0667,0.0822,0.1438,0.0722,-0.1526,0.2859,0.0441,0.1161,0.0216,0.0365,0.0955,0.0269,-0.1884,0.2418
1989,0.3148,0.0811,0.1769,0.1595,0.0439,-0.0284,0.108,0.0464,0.2565,0.0332,0.1248,0.1081,-0.0024,-0.0715,0.0616
